Ano,nivel_geografico,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,profesional,total_ambos_sexos,proporcion_profesional_pct,sexo
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13124,Pudahuel,Medico/a,6,0.06237654641854663,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13124,Pudahuel,Tecnico en enfermeria,5723,59.49682919222372,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13126,Quinta Normal,Enfermera/o,3430,79.23307923307922,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13126,Quinta Normal,Matrona/on,100,2.3100023100023104,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13126,Quinta Normal,Medico/a,55,1.2705012705012704,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13126,Quinta Normal,Nutricionista,206,4.758604758604759,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13126,Quinta Normal,Otro profesional capacitado en EMP y EMPAM,30,0.693000693000693,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13126,Quinta Normal,Tecnico en enfermeria,508,11.734811734811734,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13128,Renca,Enfermera/o,3146,61.170523041026634,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13128,Renca,Matrona/on,129,2.5082636593427963,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13128,Renca,Medico/a,0,0.0,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13128,Renca,Nutricionista,421,8.185883725452072,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13128,Renca,Otro profesional capacitado en EMP y EMPAM,460,8.944195994555706,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13128,Renca,Tecnico en enfermeria,987,19.191133579622786,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,Enfermera/o,1753,45.85404132879937,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,Matrona/on,0,0.0,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,Medico/a,3,0.07847240387130526,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,Nutricionista,172,4.499084488621501,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,Otro profesional capacitado en EMP y EMPAM,14,0.36620455139942454,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,Tecnico en enfermeria,1881,49.202197227308396,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13502,Alhué,Enfermera/o,248,45.3382084095064,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13502,Alhué,Matrona/on,0,0.0,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13502,Alhué,Medico/a,2,0.3656307129798903,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13502,Alhué,Nutricionista,18,3.2906764168190126,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13502,Alhué,Otro profesional capacitado en EMP y EMPAM,9,1.6453382084095063,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13502,Alhué,Tecnico en enfermeria,270,49.36014625228519,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13503,Curacaví,Enfermera/o,251,78.19314641744548,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13503,Curacaví,Tecnico en enfermeria,70,21.806853582554517,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13504,Maria Pinto,Enfermera/o,670,82.00734394124846,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13504,Maria Pinto,Nutricionista,0,0.0,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13504,Maria Pinto,Otro profesional capacitado en EMP y EMPAM,6,0.7343941248470013,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13504,Maria Pinto,Tecnico en enfermeria,141,17.258261933904528,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13505,San Pedro,Enfermera/o,483,77.65273311897106,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13505,San Pedro,Matrona/on,4,0.6430868167202572,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13505,San Pedro,Nutricionista,14,2.2508038585209005,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13505,San Pedro,Tecnico en enfermeria,121,19.45337620578778,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13601,Talagante,Enfermera/o,950,44.20660772452303,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13601,Talagante,Tecnico en enfermeria,1199,55.79339227547696,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13602,El Monte,Enfermera/o,1050,83.86581469648561,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13602,El Monte,Matrona/on,4,0.3194888178913738,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13602,El Monte,Nutricionista,5,0.3993610223642172,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13602,El Monte,Otro profesional capacitado en EMP y EMPAM,5,0.3993610223642172,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13602,El Monte,Tecnico en enfermeria,188,15.015974440894569,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13603,Isla de Maipo,Enfermera/o,671,50.910470409711685,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13603,Isla de Maipo,Tecnico en enfermeria,647,49.089529590288315,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13604,Padre Hurtado,Enfermera/o,1018,50.172498767865946,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13604,Padre Hurtado,Tecnico en enfermeria,1011,49.82750123213406,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13605,Peñaflor,Enfermera/o,1154,35.883084577114424,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13605,Peñaflor,Medico/a,2,0.06218905472636816,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13605,Peñaflor,Otro profesional capacitado en EMP y EMPAM,0,0.0,Hombre
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13605,Peñaflor,Tecnico en enfermeria,2060,64.05472636815921,Hombre
2023,comuna,11,Servicio de Salud Metropolitano Central,13101,Santiago,Enfermera/o,7140,76.65056360708535,Hombre
2023,comuna,11,Servicio de Salud Metropolitano Central,13101,Santiago,Matrona/on,109,1.1701556629092862,Hombre
2023,comuna,11,Servicio de Salud Metropolitano Central,13101,Santiago,Medico/a,128,1.374127750939345,Hombre
2023,comuna,11,Servicio de Salud Metropolitano Central,13101,Santiago,Nutricionista,864,9.27536231884058,Hombre
2023,comuna,11,Servicio de Salud Metropolitano Central,13101,Santiago,Otro profesional capacitado en EMP y EMPAM,1068,11.465378421900162,Hombre
2023,comuna,11,Servicio de Salud Metropolitano Central,13101,Santiago,Tecnico en enfermeria,6,0.06441223832528181,Hombre
2023,comuna,11,Servicio de Salud Metropolitano Central,13102,Cerrillos,Enfermera/o,444,27.577639751552795,Hombre
2023,comuna,11,Servicio de Salud Metropolitano Central,13102,Cerrillos,Matrona/on,12,0.7453416149068323,Hombre
2023,comuna,11,Servicio de Salud Metropolitano Central,13102,Cerrillos,Medico/a,36,2.236024844720497,Hombre
2023,comuna,11,Servicio de Salud Metropolitano Central,13102,Cerrillos,Nutricionista,369,22.919254658385093,Hombre
2023,comuna,11,Servicio de Salud Metropolitano Central,13102,Cerrillos,Otro profesional capacitado en EMP y EMPAM,469,29.130434782608695,Hombre
2023,comuna,11,Servicio de Salud Metropolitano Central,13102,Cerrillos,Tecnico en enfermeria,280,17.391304347826086,Hombre
2023,comuna,11,Servicio de Salud Metropolitano Central,13106,Estación Central,Enfermera/o,719,23.604727511490477,Hombre
2023,comuna,11,Servicio de Salud Metropolitano Central,13106,Estación Central,Matrona/on,28,0.9192383453709784,Hombre
2023,comuna,11,Servicio de Salud Metropolitano Central,13106,Estación Central,Medico/a,13,0.4267892317793828,Hombre
2023,comuna,11,Servicio de Salud Metropolitano Central,13106,Estación Central,Nutricionista,316,10.374261326329613,Hombre
2023,comuna,11,Servicio de Salud Metropolitano Central,13106,Estación Central,Otro profesional capacitado en EMP y EMPAM,1684,55.28562048588312,Hombre
2023,comuna,11,Servicio de Salud Metropolitano Central,13106,Estación Central,Tecnico en enfermeria,286,9.389363099146422,Hombre
2023,comuna,11,Servicio de Salud Metropolitano Central,13119,Maipú,Enfermera/o,5547,40.673119225692915,Hombre
2023,comuna,11,Servicio de Salud Metropolitano Central,13119,Maipú,Matrona/on,123,0.9018917729872415,Hombre
2023,comuna,11,Servicio de Salud Metropolitano Central,13119,Maipú,Medico/a,87,0.6379234491860977,Hombre
2023,comuna,11,Servicio de Salud Metropolitano Central,13119,Maipú,Nutricionista,1122,8.227012758468984,Hombre
2023,comuna,11,Servicio de Salud Metropolitano Central,13119,Maipú,Otro profesional capacitado en EMP y EMPAM,2950,21.630737644815955,Hombre
2023,comuna,11,Servicio de Salud Metropolitano Central,13119,Maipú,Tecnico en enfermeria,3809,27.929315148848804,Hombre
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13113,La Reina,Enfermera/o,1420,68.66537717601547,Hombre
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13113,La Reina,Matrona/on,15,0.7253384912959381,Hombre
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13113,La Reina,Medico/a,5,0.24177949709864605,Hombre
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13113,La Reina,Nutricionista,628,30.36750483558994,Hombre
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13114,Las Condes,Enfermera/o,3794,90.24738344433872,Hombre
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13114,Las Condes,Matrona/on,2,0.04757373929590866,Hombre
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13114,Las Condes,Medico/a,0,0.0,Hombre
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13114,Las Condes,Otro profesional capacitado en EMP y EMPAM,18,0.4281636536631779,Hombre
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13114,Las Condes,Tecnico en enfermeria,390,9.276879162702189,Hombre
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13115,Lo Barnechea,Enfermera/o,1137,82.27206946454415,Hombre
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13115,Lo Barnechea,Matrona/on,97,7.018813314037627,Hombre
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13115,Lo Barnechea,Medico/a,9,0.6512301013024602,Hombre
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13115,Lo Barnechea,Otro profesional capacitado en EMP y EMPAM,139,10.057887120115774,Hombre
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13115,Lo Barnechea,Tecnico en enfermeria,0,0.0,Hombre
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13118,Macul,Enfermera/o,4278,63.312120763652516,Hombre
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13118,Macul,Matrona/on,110,1.627941394109812,Hombre
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13118,Macul,Medico/a,31,0.4587834837945834,Hombre
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13118,Macul,Nutricionista,230,3.403877460411425,Hombre
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13118,Macul,Otro profesional capacitado en EMP y EMPAM,228,3.374278525973065,Hombre
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13118,Macul,Tecnico en enfermeria,1880,27.822998372058606,Hombre
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13120,Ñuñoa,Enfermera/o,3577,82.82009724473258,Hombre
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13120,Ñuñoa,Matrona/on,16,0.37045612410280154,Hombre
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13120,Ñuñoa,Medico/a,164,3.797175272053716,Hombre
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13120,Ñuñoa,Nutricionista,475,10.997916184301921,Hombre
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13120,Ñuñoa,Otro profesional capacitado en EMP y EMPAM,87,2.0143551748089834,Hombre
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13122,Peñalolén,Enfermera/o,5469,55.12549138191714,Hombre
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13122,Peñalolén,Matrona/on,203,2.046164701138998,Hombre
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13122,Peñalolén,Medico/a,197,1.9856869267210968,Hombre
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13122,Peñalolén,Nutricionista,1461,14.726338070758995,Hombre
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13122,Peñalolén,Otro profesional capacitado en EMP y EMPAM,2591,26.116318919463765,Hombre
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13123,Providencia,Enfermera/o,2573,62.13475006037189,Hombre
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13123,Providencia,Matrona/on,37,0.8935039845447958,Hombre
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13123,Providencia,Medico/a,9,0.21733880705143688,Hombre
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13123,Providencia,Nutricionista,1017,24.559285196812365,Hombre
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13123,Providencia,Otro profesional capacitado en EMP y EMPAM,505,12.195121951219512,Hombre
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13132,Vitacura,Enfermera/o,985,94.52975047984646,Hombre
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13132,Vitacura,Matrona/on,3,0.28790786948176583,Hombre
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13132,Vitacura,Nutricionista,36,3.45489443378119,Hombre
2023,comuna,12,Servicio de Salud Metropolitano Oriente,13132,Vitacura,Otro profesional capacitado en EMP y EMPAM,18,1.727447216890595,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13105,El Bosque,Enfermera/o,1722,20.002323150191657,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13105,El Bosque,Matrona/on,65,0.7550238122894645,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13105,El Bosque,Medico/a,41,0.4762457892902776,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13105,El Bosque,Nutricionista,770,8.94412823789058,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13105,El Bosque,Otro profesional capacitado en EMP y EMPAM,5681,65.9890811940992,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13105,El Bosque,Tecnico en enfermeria,330,3.8331978162388194,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13109,La Cisterna,Enfermera/o,490,13.50234224304216,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13109,La Cisterna,Matrona/on,0,0.0,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13109,La Cisterna,Medico/a,1,0.027555800496004413,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13109,La Cisterna,Nutricionista,455,12.537889225682006,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13109,La Cisterna,Otro profesional capacitado en EMP y EMPAM,1091,30.06337834114081,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13109,La Cisterna,Tecnico en enfermeria,1592,43.86883438963902,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13116,Lo Espejo,Enfermera/o,1229,40.9121171770972,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13116,Lo Espejo,Matrona/on,4,0.13315579227696406,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13116,Lo Espejo,Medico/a,116,3.861517976031957,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13116,Lo Espejo,Nutricionista,381,12.683089214380825,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13116,Lo Espejo,Otro profesional capacitado en EMP y EMPAM,330,10.985352862849535,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13116,Lo Espejo,Tecnico en enfermeria,944,31.424766977363518,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13121,Pedro Aguirre Cerda,Enfermera/o,1224,19.918633034987796,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13121,Pedro Aguirre Cerda,Matrona/on,129,2.09926769731489,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13121,Pedro Aguirre Cerda,Medico/a,22,0.3580146460537022,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13121,Pedro Aguirre Cerda,Nutricionista,540,8.787632221318145,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13121,Pedro Aguirre Cerda,Otro profesional capacitado en EMP y EMPAM,2184,35.54109031733116,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13121,Pedro Aguirre Cerda,Tecnico en enfermeria,2046,33.29536208299431,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13129,San Joaquín,Enfermera/o,2287,48.41236240474174,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13129,San Joaquín,Matrona/on,71,1.5029635901778153,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13129,San Joaquín,Medico/a,738,15.622353937341234,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13129,San Joaquín,Nutricionista,37,0.7832345469940728,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13129,San Joaquín,Otro profesional capacitado en EMP y EMPAM,30,0.6350550381033023,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13129,San Joaquín,Tecnico en enfermeria,1561,33.04403048264183,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13130,San Miguel,Enfermera/o,2084,45.44265154819014,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13130,San Miguel,Matrona/on,22,0.4797208896641954,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13130,San Miguel,Medico/a,1,0.021805494984736155,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13130,San Miguel,Nutricionista,532,11.600523331879634,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13130,San Miguel,Otro profesional capacitado en EMP y EMPAM,463,10.09594417793284,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13130,San Miguel,Tecnico en enfermeria,1484,32.35935455734845,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13401,San Bernardo,Enfermera/o,3614,38.20699862564753,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13401,San Bernardo,Matrona/on,9,0.09514747859181732,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13401,San Bernardo,Medico/a,88,0.9303309017866582,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13401,San Bernardo,Nutricionista,112,1.1840575113648377,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13401,San Bernardo,Otro profesional capacitado en EMP y EMPAM,309,3.2667300983190617,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13401,San Bernardo,Tecnico en enfermeria,5327,56.3167353842901,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13402,Buin,Enfermera/o,1102,25.479768786127167,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13402,Buin,Matrona/on,102,2.358381502890173,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13402,Buin,Medico/a,46,1.0635838150289016,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13402,Buin,Nutricionista,88,2.0346820809248554,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13402,Buin,Otro profesional capacitado en EMP y EMPAM,926,21.410404624277458,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13402,Buin,Tecnico en enfermeria,2061,47.653179190751445,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13403,Calera de Tango,Enfermera/o,152,14.462416745956233,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13403,Calera de Tango,Matrona/on,3,0.285442435775452,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13403,Calera de Tango,Nutricionista,158,15.033301617507137,Hombre
2023,comuna,13,Servicio de Salud Metropolitano Sur,13403,Calera de Tango,Otro profesional capacitado en EMP y EMPAM,248,23.596574690770694,Hombre
